gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
EXOSC4	1.320725467	2.994767804	2.676922398	0.016588301	0.256286106	-3.202218715
TSPYL5	1.320297024	4.467462958	3.020244889	0.00816525	0.18599036	-2.598612942
MAZ	1.320191817	6.484929489	2.61413168	0.018850324	0.273690864	-3.347818371
RP11-635O16.1	1.320156629	-1.205502987	1.441903936	0.168714548	0.666167328	-4.787069817
CXXC5	1.319510209	5.318109658	2.444043525	0.026553306	0.319237598	-3.675118876
PYM1	1.319361295	3.645657689	2.920627419	0.010044324	0.203826813	-2.774151842
ATP1A1	1.319051858	6.93418598	2.651237801	0.017480183	0.263716535	-3.269768023
RP11-759A9.2	1.319038385	-1.458073248	1.350531993	0.195733696	0.695449514	-4.900908493
NAT9	1.318801452	4.336308969	2.726933721	0.014975621	0.244836287	-3.155252914
RPSAP54	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
RPL21P116	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
TAS2R63P	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
RPL23AP43	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
RP11-50I19.1	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
RP11-359P18.6	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
USP17L8	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
RP11-316J7.4	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
ZNF970P	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
AC074375.1	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
AP000620.1	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
HNRNPA1P15	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
H3F3AP3	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
CTA-268H5.9	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
GAPDHP23	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
IGHJ1	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
RP11-166B14.1	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
RP11-106E7.1	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
AK4P3	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
NDUFB4P3	1.318525588	-2.262144654	1.58355078	0.132958831	0.603858789	-4.66032757
HMGB1P13	1.318032779	-1.157251884	1.33677515	0.200088416	0.69719736	-4.908241926
RP11-190G13.4	1.317541394	-1.73382382	1.627473397	0.123265043	0.595178625	-4.57582714
HMGB3P3	1.317541394	-1.73382382	1.627473397	0.123265043	0.595178625	-4.57582714
PPIAP20	1.317541394	-1.73382382	1.627473397	0.123265043	0.595178625	-4.57582714
AC016700.4	1.317541394	-1.73382382	1.627473397	0.123265043	0.595178625	-4.57582714
HAUS8P1	1.317541394	-1.73382382	1.627473397	0.123265043	0.595178625	-4.57582714
BCRP5	1.317541394	-1.73382382	1.627473397	0.123265043	0.595178625	-4.57582714
RP3-405J10.2	1.317541394	-1.73382382	1.627473397	0.123265043	0.595178625	-4.57582714
DUSP14	1.317107913	3.082134101	2.270052416	0.037455282	0.3722569	-3.936408702
AC073091.2	1.316593572	-0.641108294	1.333462528	0.201148529	0.697782229	-4.926464684
PDAP1	1.315976739	6.549250029	2.404483989	0.028731353	0.330861247	-3.726159966
CSNK1G2	1.315836978	5.619439224	2.904062185	0.010395251	0.206635117	-2.817602098
SGTA	1.31576224	4.531194279	2.851407349	0.011591789	0.216580844	-2.922176621
WDR95P	1.314167796	0.761784934	2.048135608	0.057412895	0.448683875	-4.081205514
RP11-212J19.1	1.313523529	-1.73382382	1.629990278	0.122728346	0.594129742	-4.57253088
RP5-966M1.4	1.313523529	-1.73382382	1.629990278	0.122728346	0.594129742	-4.57253088
RP11-191A15.4	1.313523529	-1.73382382	1.629990278	0.122728346	0.594129742	-4.57253088
CTB-52I2.3	1.313523529	-1.73382382	1.629990278	0.122728346	0.594129742	-4.57253088
CTSLP8	1.313523529	-1.73382382	1.629990278	0.122728346	0.594129742	-4.57253088
HMGN1P33	1.313523529	-1.73382382	1.629990278	0.122728346	0.594129742	-4.57253088
RP1-102G20.2	1.313523529	-1.73382382	1.629990278	0.122728346	0.594129742	-4.57253088
RP11-14I17.1	1.313523529	-1.73382382	1.629990278	0.122728346	0.594129742	-4.57253088
PFN1	1.3133581	6.474797366	2.333668897	0.033056427	0.350912004	-3.852923163
GAST	1.312950005	-1.12715651	1.219964549	0.240244862	0.73538468	-5.034872419
YBX1P4	1.31263572	0.898190681	1.943917853	0.069798428	0.484529587	-4.256563936
CTD-2313D3.1	1.312539333	-0.417684332	1.674069257	0.113648776	0.578555746	-4.518748554
SH3GL1	1.312136875	5.941034978	2.774874372	0.013572293	0.234438645	-3.058138607
NUP210P1	1.311701293	0.498698253	1.759948261	0.097615566	0.546789365	-4.483979367
SMAGP	1.311187582	3.679164491	2.650037873	0.017522956	0.263765019	-3.284048021
RGS19	1.311140634	3.46961922	2.870916509	0.011133617	0.213105057	-2.86238162
IFITM5	1.311021765	-0.330146359	1.59155249	0.131146046	0.602598041	-4.633142763
MCRS1	1.310913041	4.534277477	3.009677096	0.008347026	0.187568203	-2.619385095
CLUH	1.310822186	6.512697228	2.938192101	0.009684837	0.198901312	-2.738940353
PRR36	1.310574619	2.949937313	2.406482234	0.028617408	0.329980438	-3.689205888
CIR1P1	1.31037522	-1.34050783	1.512113007	0.150102846	0.633527858	-4.70491659
FAHD2P1	1.31037522	-1.34050783	1.512113007	0.150102846	0.633527858	-4.70491659
RNF152P1	1.31026035	-1.001770917	1.366127631	0.19088935	0.690532696	-4.875306123
FAM189B	1.309853709	4.462436326	2.445196396	0.026492235	0.318938627	-3.674118682
SLC26A6	1.309575957	3.832550165	2.735806328	0.014705755	0.242915747	-3.129035702
RAB20	1.309498971	3.904335433	2.529573937	0.022366642	0.295243328	-3.511929874
PRR7	1.309210891	2.690630162	2.432349958	0.027180323	0.323628132	-3.624767769
LKAAEAR1	1.308735248	-0.344592095	1.413544186	0.176753083	0.678773445	-4.853088792
RRP1	1.308648674	4.942650418	2.873925682	0.011064532	0.212705029	-2.880014022
TIMM17B	1.3083576	4.212386681	2.893236724	0.010631003	0.208039453	-2.839320936
RANGRF	1.307654555	2.024196898	2.419964191	0.027859698	0.327711616	-3.589680464
RPS6KA4	1.307261098	5.571430457	2.469443584	0.025238163	0.312269096	-3.626688344
TRAK1	1.307007918	6.515947197	2.674209082	0.016680413	0.256497126	-3.236171831
MTND2P28	1.306591712	2.269812797	2.344624612	0.032349527	0.347858601	-3.743606991
CHPF2	1.306188311	5.584638904	2.612025237	0.018931114	0.273937324	-3.366402322
CDT1	1.305993712	3.50883727	2.668381713	0.016879906	0.258348012	-3.243779672
ARHGAP40	1.305913429	2.905481544	2.382843606	0.029993041	0.335735317	-3.727925405
PIH1D1	1.305867844	4.070483676	2.845097758	0.01174385	0.217690585	-2.928537379
RPS10-NUDT3	1.305772984	0.66646721	1.606481898	0.127819926	0.598741025	-4.714915317
IGLC7	1.305605059	-0.695687372	1.421087708	0.174584893	0.675636253	-4.822394407
OR52N4	1.30535084	-1.109000781	1.452243655	0.165859545	0.661223965	-4.773824771
SRPRB	1.304911427	3.138082952	2.639804781	0.017891829	0.267149267	-3.278955773
GPAT4	1.304751876	5.46168077	2.1455253	0.047683531	0.417835523	-4.194370432
TARBP2	1.304589313	4.163222873	2.945995225	0.00952919	0.197718095	-2.737797527
OR4A6P	1.304551365	-1.794252167	1.40989935	0.17780855	0.679871042	-4.850974037
RP11-1029M24.4	1.303906157	-1.53009175	1.424300026	0.173668225	0.674074221	-4.818303006
HIST1H2APS4	1.303684071	-0.328191477	1.651831452	0.118154438	0.589091541	-4.554270782
FPR1	1.303412202	2.252207132	2.485000522	0.024463399	0.306945817	-3.495394342
RP11-411G7.2	1.303339831	-0.362799728	1.574742306	0.134978923	0.608467097	-4.652553776
MTND4P31	1.303249489	-1.713347696	1.557337749	0.139046855	0.614556269	-4.665025108
RP11-447H19.1	1.303249489	-1.713347696	1.557337749	0.139046855	0.614556269	-4.665025108
EIF4E2P1	1.303249489	-1.713347696	1.557337749	0.139046855	0.614556269	-4.665025108
CDCA3	1.302966032	3.208665642	2.70851348	0.015551212	0.248974837	-3.155595581
NCAPG2	1.301697453	4.181212312	2.894009159	0.01061401	0.208039453	-2.837383874
LRRC15	1.301002377	2.659077164	1.686203462	0.111253321	0.573356228	-4.834819349
RP11-573M3.3	1.300341848	-1.205502987	1.4452201	0.167794516	0.664376146	-4.783114072
THBS4	1.300082817	2.193792801	2.208058212	0.042261674	0.394912983	-3.97000175
MAP2K1	1.299911712	4.646942119	2.90003652	0.010482319	0.206969023	-2.830179024
HMG20B	1.29960703	5.719826297	2.87776079	0.010977089	0.211902023	-2.86649627
CHPF	1.299514034	6.109572061	2.223213948	0.041036452	0.388813857	-4.052097452
FAM89B	1.298975211	5.290028737	2.946211037	0.00952492	0.197718095	-2.740149576
ESPL1	1.29857685	4.058884025	2.902357686	0.01043203	0.206635117	-2.819428446
PLEKHF1	1.298452724	4.356507044	2.683668429	0.0163614	0.255220453	-3.236295106
SELO	1.298044324	4.390899196	2.772938257	0.013626419	0.234724077	-3.069450246
PPP1R14BP5	1.298024867	-1.469663404	1.372428635	0.18895975	0.690532696	-4.87632587
POTEF	1.297208953	2.050808708	1.236859473	0.234076683	0.73095533	-5.350646212
ACE3P	1.296433329	0.037279788	1.429260125	0.172260555	0.670906686	-4.869519189
C19ORF38	1.296355704	1.151227521	1.872650173	0.079602055	0.509851839	-4.392753689
VGLL3	1.296269659	6.769641089	2.216211756	0.041598372	0.391413467	-4.049777624
KRTAP8-1	1.296039496	-1.205502987	1.43259996	0.171317994	0.669799054	-4.798132222
NUDT17	1.294817501	1.12269386	1.627947322	0.123163831	0.595178625	-4.74113326
AC004911.2	1.294740743	-0.959847789	1.326427109	0.203414917	0.700267179	-4.921194586
RP11-288K12.1	1.294581252	-0.23561506	1.621683815	0.124507236	0.597341589	-4.601197052
RAD51	1.294511575	1.738908137	1.982575769	0.064947291	0.472268393	-4.290396644
EPN3	1.29427544	5.05166527	1.866137021	0.080556574	0.51032045	-4.651884397
IGLV2-5	1.293930943	-1.388758932	1.324152473	0.204152012	0.701020469	-4.927965727
PLXNB1	1.293247787	7.161229625	2.819578383	0.012378853	0.223466199	-2.950561511
OR7E162P	1.292905847	0.527411096	1.909884148	0.074336418	0.495829394	-4.268675687
LIPA	1.292879545	3.470413388	1.921039837	0.072820612	0.491675172	-4.536778173
ANKRD52	1.29235257	5.882908009	2.915848547	0.01014436	0.204852126	-2.791779947
RP1-139D8.6	1.292115074	-1.481840647	1.436182745	0.170311577	0.668557723	-4.802114559
ABHD17AP3	1.291795055	-0.089020061	1.71512145	0.10571997	0.561911546	-4.487816705
TBC1D16	1.291651045	6.384119962	2.848127788	0.011670587	0.217132065	-2.912542283
DPRXP4	1.291157285	-1.136775759	1.395257337	0.182100485	0.686964814	-4.841110934
LRRC8D	1.290794335	3.192663027	2.812973509	0.012548551	0.225605027	-2.959474258
ASPHD2	1.29047388	1.525571714	2.288685929	0.036113288	0.36578328	-3.767153057
GLULP4	1.289958323	-0.485627327	1.645056847	0.119557235	0.592287943	-4.553044708
CD2AP	1.289877318	6.333671281	2.40114681	0.028922602	0.331519591	-3.736592509
RP11-115D7.3	1.289459879	-1.481840647	1.438599425	0.16963547	0.667740693	-4.799232676
WARS2P1	1.289459879	-1.481840647	1.438599425	0.16963547	0.667740693	-4.799232676
CDC42BPG	1.289205436	5.355117387	2.515641012	0.023002967	0.297767737	-3.545372927
FTLP10	1.289101581	-0.512004341	1.533448475	0.144798465	0.624453347	-4.695179691
CYP2G2P	1.288988001	0.414648555	1.803962135	0.090192732	0.532065787	-4.412239789
HGS	1.288019574	6.485623158	2.810242348	0.01261938	0.226503929	-2.982246706
ECM1P2	1.287859716	-0.326436366	1.600602731	0.129121071	0.599096951	-4.621665208
SPHK1	1.287800331	4.089869664	1.947154341	0.069380114	0.482974408	-4.517242252
CYP2F1	1.287220747	1.973334756	1.942940723	0.069925166	0.484537848	-4.378344395
AC002069.5	1.286848178	-0.780180703	1.241118919	0.232541171	0.729628839	-5.020827535
NUDT19	1.286817095	4.569864287	2.667823138	0.016899148	0.258348012	-3.267549913
PCK2	1.286701615	3.900084998	2.532090483	0.02225351	0.294659068	-3.507238262
KIF1C	1.28579587	7.637619716	2.615790049	0.018786952	0.273230395	-3.317877692
RP11-641C17.2	1.285704619	-1.652919349	1.326054463	0.203535527	0.700351264	-4.938713864
CTD-2192J16.22	1.28552338	-2.23204928	1.342069239	0.198403477	0.69719736	-4.954447443
RPL39	1.285479788	3.559157961	2.400321249	0.028970098	0.331521858	-3.732930149
RPS4Y1	1.284762569	1.934613611	0.703387134	0.491975221	0.874838263	-5.824764145
KCNK12	1.284321762	2.351069549	2.397131663	0.029154294	0.332139653	-3.659169687
AP5B1	1.284220599	5.35790549	2.976620079	0.008941575	0.194255997	-2.681282603
YWHAQ	1.283912521	5.826765138	2.659461845	0.017189712	0.260978489	-3.275459695
ORMDL2	1.283887468	2.039758643	2.20403927	0.042592214	0.3966986	-3.961635048
CH17-118O6.3	1.283887403	-1.652919349	1.326580748	0.203365207	0.700164451	-4.938121792
RP11-382B18.5	1.283887403	-1.652919349	1.326580748	0.203365207	0.700164451	-4.938121792
RPL37P1	1.283887403	-1.652919349	1.326580748	0.203365207	0.700164451	-4.938121792
MST1R	1.283455431	4.038956388	2.397504648	0.029132698	0.332139653	-3.752954701
FAM27D1	1.28325523	0.811875535	1.91081073	0.074209449	0.495784234	-4.297375978
CREG1	1.283052749	5.279636936	2.638317182	0.017946069	0.267394028	-3.320896203
NPTX2	1.282947911	2.385607221	2.511578341	0.023191731	0.298773503	-3.459294765
MTNR1B	1.282944989	0.680046808	1.568429812	0.136442538	0.611199178	-4.7671321
GTF2IRD1	1.282569085	5.222050714	2.97869962	0.008902983	0.193778841	-2.678318511
CTSH	1.282267857	7.03557866	1.910456404	0.074257979	0.495784234	-4.545779774
DLX3	1.282251744	1.759547671	2.125865122	0.0495163	0.424768974	-4.062397126
FBXO47	1.281687722	-1.001770917	1.592790133	0.130867542	0.602030093	-4.600214617
FO538757.2	1.281404303	-1.078905407	1.050352661	0.309241253	0.792858211	-5.202056283
GOLGA6L16P	1.281196761	-1.074733654	1.146709227	0.268446559	0.760785961	-5.109603426
AUP1	1.281068861	5.543526729	2.813267326	0.012540955	0.225583543	-2.990882224
ANXA9	1.280964958	3.078058085	2.786768642	0.013244309	0.232336305	-3.002622728
CBS	1.280594699	3.875620967	2.085445955	0.053489063	0.437218189	-4.286370213
DCAF12L2	1.280456347	0.658001678	1.606448128	0.127827368	0.598741025	-4.713957663
PLXNB2	1.280269872	7.847414693	2.784950159	0.013293952	0.232944948	-2.999179153
RNF181	1.279973643	2.727908388	2.337228307	0.032825189	0.350194976	-3.794961626
RP11-170L3.6	1.279831838	-1.794252167	1.412959736	0.176921982	0.678872742	-4.847352915
RP11-571E6.4	1.279831838	-1.794252167	1.412959736	0.176921982	0.678872742	-4.847352915
ESRP2	1.279821819	5.149582385	2.34342951	0.032425945	0.348255237	-3.855577806
HPDL	1.279237957	1.402994032	2.032529936	0.059130556	0.453762211	-4.174165418
H2AFB3	1.279088361	-1.32635968	1.295572426	0.2135958	0.708997984	-4.957562627
CPNE9	1.278789209	1.11092533	1.611434173	0.126732602	0.598741025	-4.762204252
ENHO	1.278711369	0.312884313	1.84667951	0.083469037	0.518159972	-4.340102194
CTD-2008P7.6	1.27833814	0.080303529	1.594240524	0.130541804	0.601389997	-4.665952093
TXNDC2	1.278319916	1.499021089	1.956338311	0.068205346	0.479628816	-4.304531866
RP11-941H19.2	1.278179639	-1.265931333	1.549098834	0.141008324	0.618362645	-4.657054034
TUSC2	1.278109341	3.23411455	2.5503307	0.021449657	0.290820703	-3.447836282
RAD54B	1.276902409	1.240967654	1.505421743	0.151799521	0.63615393	-4.919540989
CDCA4	1.276462881	3.07614794	2.136172967	0.048547452	0.421462211	-4.163673743
ARHGEF34P	1.276258065	4.563962113	2.892618592	0.01064462	0.208039453	-2.843933217
CNTD2	1.276154114	1.686831246	2.255296649	0.038550822	0.376761397	-3.839833558
SNRPG	1.276129025	2.931778833	2.623794687	0.018483925	0.271680686	-3.296131333
C1ORF94	1.275933771	1.26893097	2.043875751	0.057877198	0.450613499	-4.141520234
CLPTM1	1.275823324	5.590199971	2.674749312	0.016662034	0.256497126	-3.2501722
KRTAP17-1	1.275582268	-1.488168622	1.393874905	0.182510027	0.687617699	-4.852235138
ERP29	1.275377509	5.564737211	2.543462602	0.021749034	0.292492751	-3.492443461
ACTL7B	1.275308458	-0.262203365	1.505735139	0.151719699	0.63615393	-4.747461048
H2AFZ	1.275268025	3.851107248	2.506626365	0.023423805	0.300148375	-3.5521363
RPL6P2	1.275159665	-0.730095852	1.490616882	0.155610442	0.642641914	-4.737094709
MIF4GD	1.274281782	3.247877545	2.706356464	0.015619992	0.24950919	-3.161559543
MLEC	1.274196956	6.196524261	2.794630398	0.013031744	0.230181759	-3.016874717
THOP1	1.274133221	5.159412993	2.730794416	0.014857614	0.243739566	-3.149476569
GGT3P	1.273990132	1.161377279	1.88677069	0.07756718	0.50453541	-4.372654598
RP11-467N20.7	1.273824391	-1.481840647	1.342719912	0.198197175	0.69719736	-4.910753455
FAM210CP	1.273824391	-1.481840647	1.342719912	0.198197175	0.69719736	-4.910753455
AQP6	1.273131168	1.66053149	1.445264707	0.167782168	0.664376146	-5.050651199
LHFPL3	1.273062042	1.012650947	1.578139554	0.134196755	0.606635983	-4.794880327
BAGE2	1.272981322	3.603301089	1.915461085	0.073575141	0.493930429	-4.551769848
TRABD	1.272964301	5.115540245	2.921791548	0.010020101	0.203626486	-2.788014844
RP11-244J10.1	1.272881216	-1.713347696	1.460308644	0.163660391	0.65659856	-4.785399063
RP11-329A14.1	1.272881216	-1.713347696	1.460308644	0.163660391	0.65659856	-4.785399063
RP11-593P24.4	1.272881216	-1.713347696	1.460308644	0.163660391	0.65659856	-4.785399063
MDK	1.272294249	4.607186781	1.828551571	0.086266172	0.522834137	-4.710173177
NUDT15	1.271955674	2.72491552	2.505316517	0.023485559	0.300175596	-3.497066326
REPIN1	1.271841832	6.353160686	2.820735498	0.012349353	0.223047928	-2.964900641
RP11-25C15.1	1.271504046	-1.7682323	1.38993964	0.183679938	0.688739914	-4.872701907
OOSP1P2	1.271169196	-1.481840647	1.344431956	0.197655179	0.69714622	-4.908813685
OR9K2	1.271169196	-1.481840647	1.344431956	0.197655179	0.69714622	-4.908813685
MTND1P20	1.271147947	-1.53009175	1.566371238	0.136922732	0.611199178	-4.643819708
ITM2BP1	1.271147947	-1.53009175	1.566371238	0.136922732	0.611199178	-4.643819708
SMIM6	1.271067006	1.016179956	1.978125221	0.065489849	0.473575066	-4.216876347
VHL	1.269718972	5.586834216	2.903492952	0.010407519	0.206635117	-2.819050058
SMIM17	1.269418936	-0.586792128	1.585487706	0.132518081	0.603858789	-4.625015019
TRIP13	1.26938119	1.835863834	1.865862164	0.080597078	0.51032045	-4.48203645
RPL7P1	1.269045631	-2.33672115	1.225269689	0.238294613	0.733975433	-5.088978009
RPTN	1.268569183	1.273684576	1.499920129	0.153206506	0.638520502	-4.930863013
MSTO1	1.268087797	3.576920878	2.622244086	0.018542257	0.271680686	-3.331668161
POMK	1.268006145	3.978945961	2.373963491	0.030525717	0.338898929	-3.793362023
SDHAF1	1.268004382	2.698066356	2.223131866	0.041042998	0.388813857	-3.989196153
AC027612.1	1.267934179	-0.850741254	1.28348697	0.217691838	0.712675255	-4.972092605
WRNIP1	1.266841816	5.472611572	2.680433526	0.01646983	0.256118212	-3.240901426
ARL16	1.265914559	3.768098764	2.630088594	0.018248953	0.270305426	-3.32374951
CYB561D1	1.265827264	3.942838968	2.642740658	0.017785244	0.266044302	-3.305112694
NAT8L	1.26561688	2.463249032	1.854521135	0.082284212	0.514192421	-4.565877713
AHCY	1.265428454	5.281422416	2.676311323	0.016609003	0.256286106	-3.250351724
EIF3C	1.263795327	5.938496001	2.296745432	0.035546857	0.362440214	-3.927883457
SFRP4	1.263624582	3.316087453	1.242065295	0.232201072	0.729195382	-5.465562385
PPP1R10P1	1.263574353	-0.681844749	1.273992617	0.220952912	0.715331958	-4.99022692
TARS2P1	1.263553379	0.457456501	1.649502722	0.118635038	0.590361183	-4.632756193
PSMB8	1.263379549	3.928104043	2.814222741	0.012516283	0.225332667	-2.983985833
CDK4	1.263153435	5.083164041	2.734220684	0.014753636	0.242915747	-3.143488245
TAGLN3	1.2628397	1.241284035	2.087850695	0.053244771	0.436014621	-4.068462486
FUT6	1.26275909	2.989209721	2.329914951	0.033301957	0.351340191	-3.826442834
RP11-475C16.1	1.262536229	-1.488168622	1.300382143	0.211982727	0.706702679	-4.958376436
LBX2	1.26235976	2.788172335	2.374428898	0.030497579	0.338693257	-3.73438185
IGSF9	1.262262244	4.709102091	2.668208631	0.016885866	0.258348012	-3.26738212
LOC440461	1.261816106	0.936971471	1.661915747	0.116092529	0.585195469	-4.671728113
ACTR3P3	1.261460125	-1.73382382	1.506250477	0.151588518	0.635982431	-4.730365531
ANKRD54	1.260985232	4.228932789	2.868962839	0.011178695	0.21361976	-2.885781748
DNASE1L1	1.260938645	4.400371856	2.557895558	0.021124455	0.288855418	-3.469053222
MSNP1	1.260924717	0.062872046	1.757450482	0.098052429	0.548178881	-4.443085271
GPS1	1.260566182	5.697032429	2.715708561	0.015323889	0.246905907	-3.172474016
ZBTB7B	1.2605253	6.044804329	2.77853103	0.013470634	0.234140855	-3.049664879
RABEP2	1.260445769	5.643657595	2.858974505	0.011411941	0.215545443	-2.903134037
PLOD1	1.260148416	5.784130702	2.434341482	0.027072556	0.322836799	-3.686924131
MRPL45P1	1.260014054	-2.262144654	1.31517355	0.207082445	0.704482799	-4.986461996
RP11-178C3.7	1.260014054	-2.262144654	1.31517355	0.207082445	0.704482799	-4.986461996
OR2F2	1.259868029	-1.001770917	1.317405621	0.20635086	0.704414978	-4.930288443
CCL18	1.259691521	0.725172338	1.609415957	0.127174767	0.598741025	-4.717945022
IGHV3-38	1.259446678	-1.020276135	1.565112095	0.137217151	0.611284192	-4.635050787
ESRRAP1	1.258773634	-1.265931333	1.574092926	0.135128873	0.60896777	-4.625485955
RPSAP13	1.258593272	-1.794252167	1.327623771	0.203027992	0.700164451	-4.946073247
RP11-756P10.3	1.258593272	-1.794252167	1.327623771	0.203027992	0.700164451	-4.946073247
LACTB	1.258488673	3.814720409	2.702994541	0.015727776	0.250389202	-3.189834588
NFKBIB	1.258347299	4.243881016	2.256266968	0.038477874	0.376738908	-4.004899605
ALCAM	1.256654612	5.132730171	1.643936258	0.119790645	0.592613051	-4.983674207
CCDC71L	1.256646964	4.565998587	1.982708134	0.064931217	0.472268393	-4.466836021
HSPBP1	1.256490246	4.178670132	2.83242408	0.012055158	0.22116971	-2.954372573
RP11-468E2.2	1.256279571	0.696562584	1.418978924	0.175188806	0.675987504	-4.959411951
RPS10P18	1.256045333	-0.667485308	1.224494668	0.238578756	0.733992429	-5.043995737
YIPF3	1.255559894	4.386415318	2.805143878	0.012752638	0.227557133	-3.008653014
RNF113A	1.255552737	1.393296984	2.133530115	0.048794182	0.421956304	-4.010875926
GH2	1.255344975	-1.001770917	1.596106001	0.130123856	0.600461279	-4.595967767
PDIA6	1.254901585	5.781129203	2.518454672	0.022873094	0.297153603	-3.535138493
AC104451.2	1.254786632	-0.878943318	1.32958853	0.202393988	0.699760532	-4.920111074
USP38	1.254773181	3.896822522	2.771702861	0.013661065	0.234724077	-3.06340421
KRT18P5	1.254675052	-0.119115436	1.522749286	0.147438492	0.628607088	-4.738465003
RP11-619A10.1	1.254566284	0.509982882	0.791840477	0.440094588	0.874838263	-5.558522901
TNFRSF21	1.25440675	6.786702375	2.326449659	0.033530123	0.352005476	-3.858502471
CIT	1.253715408	4.179589159	2.63442111	0.018088873	0.268951772	-3.325257406
SHCBP1L	1.253701479	-0.146890414	1.524560156	0.146988844	0.627728896	-4.733742737
PFKFB4	1.253295082	3.730937975	2.629746537	0.018261649	0.27037983	-3.323253089
AC006042.8	1.253039665	-0.772018979	1.281474003	0.218380056	0.714046249	-4.977712612
KLRG2	1.252892856	1.900949414	1.697043398	0.109150424	0.56836216	-4.739084716
RP11-59E19.3	1.252798651	-0.860438099	1.513381896	0.149782893	0.633011464	-4.703814235
PPM1G	1.252634421	5.278050209	2.553593242	0.021308824	0.28995522	-3.476845413
RBM15B	1.252342086	5.560201093	2.844007755	0.011770315	0.2179048	-2.932493501
B3GAT3	1.25195801	4.203887226	2.815010103	0.012495986	0.225119411	-2.987715847
PSORS1C2	1.251821759	0.510585994	1.519281529	0.14830277	0.629435981	-4.810804022
ERP29P1	1.251371921	-1.265931333	1.347158594	0.196794438	0.696492077	-4.898482915
HNRNPA1P38	1.251371921	-1.265931333	1.347158594	0.196794438	0.696492077	-4.898482915
RP11-108B14.1	1.251371921	-1.265931333	1.347158594	0.196794438	0.696492077	-4.898482915
TBPL2	1.251142648	1.686961155	1.796129037	0.091476251	0.534436674	-4.56959573
FXYD7	1.251074322	-0.068176839	1.424829162	0.173517609	0.673764575	-4.863871334
BOP1	1.251055204	4.765780095	2.764033994	0.013878047	0.236362785	-3.088190002
SCAMP2	1.250886401	5.335935957	2.740426885	0.014567081	0.242015461	-3.130094611
OGFOD2	1.250844428	4.259538284	2.892822095	0.010640135	0.208039453	-2.840783294
CLEC9A	1.250572584	-0.362799728	1.508074339	0.151125008	0.635330831	-4.73682394
MAGEF1	1.250012367	3.924217726	2.73179782	0.01482709	0.243352122	-3.13891118
RP11-564D11.3	1.249898683	-1.34050783	1.335202334	0.200591193	0.69719736	-4.913921371
AC092384.1	1.249470677	-1.53009175	1.43442341	0.170805172	0.668982179	-4.806272702
CDK5	1.249416137	2.464759247	2.344001656	0.032389339	0.348166227	-3.761812924
UNC119	1.249007903	4.552304285	2.788305223	0.013202501	0.231919108	-3.04175438
AC010184.1	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
IGHJ2P	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
RP11-147K6.1	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
AC007395.4	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
IGLVIV-53	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
KSR1P1	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
MED15P3	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
AC098614.3	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
RP11-3K16.1	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
HSFY4P	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
BNIP3P35	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
BNIP3P36	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
CTD-2046J7.1	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
FTLP3	1.248678534	-2.262144654	1.602073523	0.12879451	0.598741025	-4.63621527
