term_name	zscore	combined_score	FDR	pvalue	overlapping_genes	gene_set_library	geneset
Butanoate metabolism_Homo sapiens_hsa00650	2.827347586	-5.282623532	0.489642529	0.154370058	"['OXCT1', 'HMGCLL1']"	KEGG Pathways	downregulated
PERK regulates gene expression_Homo sapiens_R-HSA-381042	-0.595199001	1.11207135	0.905313116	0.154370058	"['CCL2', 'ATF3']"	Reactome Pathways	downregulated
The role of Nef in HIV-1 replication and disease pathogenesis_Homo sapiens_R-HSA-164952	0.479462197	-0.895828406	0.657885819	0.154370058	"['AP1S1', 'AP1M2']"	Reactome Pathways	upregulated
ErbB Signaling Pathway_Homo sapiens_WP673	0.145158235	-0.267511149	0.521651768	0.158358572	"['JUN', 'EGF', 'AKT3']"	WikiPathways	downregulated
RANKL/RANK Signaling Pathway_Homo sapiens_WP2018	0.083857349	-0.154540152	0.521651768	0.158358572	"['JUN', 'TRAF5', 'FOS']"	WikiPathways	downregulated
IL-1 signaling pathway_Homo sapiens_WP195	0.032352431	-0.059622081	0.521651768	0.158358572	"['JUN', 'HSPB2', 'CCL2']"	WikiPathways	downregulated
Defective CHST3 causes SEDCJD_Homo sapiens_R-HSA-3595172	3.223682728	-5.85905051	0.905313116	0.162430962	['DCN']	Reactome Pathways	downregulated
Defective CHST6 causes MCDC1_Homo sapiens_R-HSA-3656225	4.41302134	-8.020676077	0.905313116	0.162430962	['OGN']	Reactome Pathways	downregulated
Defective ST3GAL3 causes MCT12 and EIEE15_Homo sapiens_R-HSA-3656243	4.369810136	-7.942139618	0.905313116	0.162430962	['OGN']	Reactome Pathways	downregulated
Pentose Phosphate Pathway_Homo sapiens_WP134	5.619710708	-10.21383668	0.959155839	0.162430962	['RPIA']	WikiPathways	upregulated
Neurofascin interactions_Homo sapiens_R-HSA-447043	4.698943263	-8.540339806	0.905313116	0.162430962	['CNTN1']	Reactome Pathways	downregulated
Anchoring fibril formation_Homo sapiens_R-HSA-2214320	8.166304628	-14.84227678	0.674141573	0.162430962	['LAMC2']	Reactome Pathways	upregulated
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)_Homo sapiens_R-HSA-3656244	4.192093459	-7.619139162	0.905313116	0.162430962	['OGN']	Reactome Pathways	downregulated
Anchoring fibril formation_Homo sapiens_R-HSA-2214320	3.687962016	-6.702879146	0.905313116	0.162430962	['TLL1']	Reactome Pathways	downregulated
"Defective CHST14 causes EDS, musculocontractural type_Homo sapiens_R-HSA-3595174"	3.169520452	-5.760610454	0.905313116	0.162430962	['DCN']	Reactome Pathways	downregulated
Pentose Phosphate Pathway_Mus musculus_WP63	6.261392744	-11.3800952	0.959155839	0.162430962	['RPIA']	WikiPathways	upregulated
Synthesis of Ketone Bodies_Homo sapiens_R-HSA-77111	2.410048217	-4.380267981	0.905313116	0.162430962	['HMGCLL1']	Reactome Pathways	downregulated
"Activation of NIMA Kinases NEK9, NEK6, NEK7_Homo sapiens_R-HSA-2980767"	6.356244083	-11.55248772	0.674141573	0.162430962	['CDK1']	Reactome Pathways	upregulated
POLB-Dependent Long Patch Base Excision Repair_Homo sapiens_R-HSA-110362	5.765919391	-10.47957129	0.674141573	0.162430962	['FEN1']	Reactome Pathways	upregulated
Defective CHSY1 causes TPBS_Homo sapiens_R-HSA-3595177	3.512483035	-6.383945709	0.905313116	0.162430962	['DCN']	Reactome Pathways	downregulated
2-LTR circle formation_Homo sapiens_R-HSA-164843	8.854895334	-16.09379192	0.674141573	0.162430962	['HMGA1']	Reactome Pathways	upregulated
Nectin/Necl  trans heterodimerization_Homo sapiens_R-HSA-420597	5.351007785	-9.725468521	0.905313116	0.162430962	['CADM3']	Reactome Pathways	downregulated
Matrix Metalloproteinases_Mus musculus_WP441	0.117433977	-0.212876926	0.959155839	0.163206812	"['MMP11', 'MMP15']"	WikiPathways	upregulated
TGF-beta Receptor Signaling_Homo sapiens_WP560	0.183438087	-0.331160885	0.533785594	0.164425027	"['JUN', 'EGF', 'FOS']"	WikiPathways	downregulated
Small cell lung cancer_Homo sapiens_hsa05222	0.10841561	-0.193106965	0.52605245	0.16844044	"['AKT3', 'TRAF5', 'COL4A6', 'PTGS2']"	KEGG Pathways	downregulated
PI3K/AKT Signaling in Cancer_Homo sapiens_R-HSA-2219528	-1.116645779	1.988939386	0.905313116	0.16844044	"['NR4A1', 'EGF', 'AKT3', 'FGF10']"	Reactome Pathways	downregulated
Activation of the pre-replicative complex_Homo sapiens_R-HSA-68962	0.648980808	-1.141881614	0.709760691	0.172130939	"['CDC6', 'MCM2']"	Reactome Pathways	upregulated
Matrix Metalloproteinases_Homo sapiens_WP129	0.062260973	-0.10954817	0.959155839	0.172130939	"['MMP11', 'MMP15']"	WikiPathways	upregulated
MAPK targets/ Nuclear events mediated by MAP kinases_Homo sapiens_R-HSA-450282	-0.685583356	1.20628379	0.905313116	0.172130939	"['JUN', 'FOS']"	Reactome Pathways	downregulated
Diseases of glycosylation_Homo sapiens_R-HSA-3781865	-1.076072715	1.85563136	0.905313116	0.178271444	"['ADAMTS19', 'ADAMTS1', 'OGN', 'DCN']"	Reactome Pathways	downregulated
Bladder Cancer_Homo sapiens_WP2828	-0.258808898	0.442181744	0.959155839	0.181132576	"['CDKN2A', 'E2F1']"	WikiPathways	upregulated
beta-Alanine metabolism_Homo sapiens_hsa00410	-0.569875579	0.973647271	0.998834342	0.181132576	"['ALDH3B2', 'ECHS1']"	KEGG Pathways	upregulated
SCF(Skp2)-mediated degradation of p27/p21_Homo sapiens_R-HSA-187577	-0.445068736	0.755800849	0.727779528	0.183018768	"['CCNA2', 'CCNE1', 'PSMD2']"	Reactome Pathways	upregulated
ApoE and miR-146 in inflammation and atherosclerosis_Mus musculus_WP3592	4.522204885	-7.670601488	0.959155839	0.183377519	['IRAK1']	WikiPathways	upregulated
Activation of PUMA and translocation to mitochondria_Homo sapiens_R-HSA-139915	6.043584741	-10.25117864	0.727779528	0.183377519	['E2F1']	Reactome Pathways	upregulated
Release of Hh-Np from the secreting cell_Homo sapiens_R-HSA-5362798	5.4271663	-9.205604556	0.905313116	0.183377519	['SHH']	Reactome Pathways	downregulated
Organic anion transporters_Homo sapiens_R-HSA-428643	6.759953949	-11.46629004	0.727779528	0.183377519	['SLC25A10']	Reactome Pathways	upregulated
ChREBP activates metabolic gene expression_Homo sapiens_R-HSA-163765	7.552962124	-12.81139709	0.727779528	0.183377519	['FASN']	Reactome Pathways	upregulated
Terminal pathway of complement_Homo sapiens_R-HSA-166665	3.608382646	-6.120568615	0.905313116	0.183377519	['C7']	Reactome Pathways	downregulated
Hydrolysis of LPC_Homo sapiens_R-HSA-1483115	3.509737114	-5.953245245	0.905313116	0.183377519	['PLA2G4A']	Reactome Pathways	downregulated
tRNA modification in the mitochondrion_Homo sapiens_R-HSA-6787450	5.5793476	-9.463735741	0.727779528	0.183377519	['HSD17B10']	Reactome Pathways	upregulated
Regulation of gene expression in early pancreatic precursor cells_Homo sapiens_R-HSA-210747	3.188999133	-5.409206817	0.905313116	0.183377519	['FGF10']	Reactome Pathways	downregulated
mitochondrial fatty acid beta-oxidation of saturated fatty acids_Homo sapiens_R-HSA-77286	7.631940001	-12.94536002	0.727779528	0.183377519	['ECHS1']	Reactome Pathways	upregulated
Ligand-receptor interactions_Homo sapiens_R-HSA-5632681	3.012097264	-5.109144398	0.905313116	0.183377519	['SHH']	Reactome Pathways	downregulated
Insulin Signaling_Mus musculus_WP65	-0.195557984	0.325804986	0.604788344	0.188996358	"['EGR1', 'JUN', 'GRB10', 'FOS', 'SORBS1', 'MAPK4']"	WikiPathways	downregulated
RHO GTPases activate PKNs_Homo sapiens_R-HSA-5625740	-0.953128464	1.586220381	0.905313116	0.189337305	"['PPP1R14A', 'MYH11', 'MYL9']"	Reactome Pathways	downregulated
Long-term depression_Homo sapiens_hsa04730	0.543221069	-0.904042176	0.575786859	0.189337305	"['PLCB4', 'PLA2G4A', 'PRKG1']"	KEGG Pathways	downregulated
DNA strand elongation_Homo sapiens_R-HSA-69190	0.556408122	-0.923452229	0.740972137	0.190202297	"['FEN1', 'MCM2']"	Reactome Pathways	upregulated
Oncogene Induced Senescence_Homo sapiens_R-HSA-2559585	0.27155006	-0.450682688	0.740972137	0.190202297	"['CDKN2A', 'E2F1']"	Reactome Pathways	upregulated
DAG and IP3 signaling_Homo sapiens_R-HSA-1489509	-0.480333023	0.797192893	0.905313116	0.190202297	"['PDE1C', 'ADCY5']"	Reactome Pathways	downregulated
Constitutive Androstane Receptor Pathway_Homo sapiens_WP2875	0.083254928	-0.138175462	0.959155839	0.190202297	"['CYP2A6', 'UGT1A4']"	WikiPathways	upregulated
Signaling by Robo receptor_Homo sapiens_R-HSA-376176	-0.437226444	0.725650324	0.905313116	0.190202297	"['SLIT2', 'CAP2']"	Reactome Pathways	downregulated
Activation of Matrix Metalloproteinases_Homo sapiens_R-HSA-1592389	0.590705102	-0.980373797	0.740972137	0.190202297	"['MMP11', 'MMP15']"	Reactome Pathways	upregulated
Regulation of beta-cell development_Homo sapiens_R-HSA-186712	-0.45909597	0.761946455	0.905313116	0.190202297	"['AKT3', 'FGF10']"	Reactome Pathways	downregulated
GnRH signaling pathway_Homo sapiens_hsa04912	-0.001402964	0.002305307	0.575786859	0.193366202	"['JUN', 'PLCB4', 'PLA2G4A', 'ADCY5']"	KEGG Pathways	downregulated
Morphine addiction_Homo sapiens_hsa05032	0.081256362	-0.133517973	0.575786859	0.193366202	"['PDE1C', 'PDE4D', 'PDE7B', 'ADCY5']"	KEGG Pathways	downregulated
VEGF signaling pathway_Homo sapiens_hsa04370	0.596247413	-0.97254941	0.575786859	0.195710804	"['AKT3', 'PLA2G4A', 'PTGS2']"	KEGG Pathways	downregulated
Gastrin-CREB signalling pathway via PKC and MAPK_Homo sapiens_R-HSA-881907	-1.624698606	2.648883769	0.905313116	0.195854212	"['CHRM3', 'DUSP2', 'EGF', 'DUSP1', 'DGKB', 'LPAR1', 'TACR3', 'LPAR3', 'EDNRA', 'RGS2', 'PLCB4', 'NCAM1', 'TEK', 'FGF10']"	Reactome Pathways	downregulated
Fluoropyrimidine Activity_Homo sapiens_WP1601	0.071929289	-0.116006698	0.959155839	0.199331094	"['CYP2A6', 'TK1']"	WikiPathways	upregulated
Alpha 6 Beta 4 signaling pathway_Homo sapiens_WP244	-0.221488083	0.357213333	0.959155839	0.199331094	"['EIF4EBP1', 'LAMC2']"	WikiPathways	upregulated
Cytochrome P450 - arranged by substrate type_Homo sapiens_R-HSA-211897	-0.824762685	1.318642155	0.905313116	0.202136103	"['CYP39A1', 'PTGIS', 'NR1H4']"	Reactome Pathways	downregulated
Type I hemidesmosome assembly_Homo sapiens_R-HSA-446107	6.76845677	-10.76597518	0.761257612	0.20380125	['LAMC2']	Reactome Pathways	upregulated
Pentose phosphate pathway (hexose monophosphate shunt)_Homo sapiens_R-HSA-71336	6.709914367	-10.67285704	0.761257612	0.20380125	['RPIA']	Reactome Pathways	upregulated
Pyrimidine salvage reactions_Homo sapiens_R-HSA-73614	6.908588323	-10.98886983	0.761257612	0.20380125	['TK1']	Reactome Pathways	upregulated
Transport of nucleotide sugars_Homo sapiens_R-HSA-727802	7.266816222	-11.55867072	0.761257612	0.20380125	['SLC35A2']	Reactome Pathways	upregulated
EV release from cardiac cells and their functional effects_Homo sapiens_WP3297	6.977279514	-11.09813073	0.639376791	0.20380125	['KLF2']	WikiPathways	downregulated
Pregnenolone biosynthesis_Homo sapiens_R-HSA-196108	7.646992766	-12.16338334	0.761257612	0.20380125	['AKR1B1']	Reactome Pathways	upregulated
Methylation Pathways_Homo sapiens_WP704	4.344977749	-6.911165155	0.959155839	0.20380125	['PNMT']	WikiPathways	upregulated
Methylation_Mus musculus_WP1247	4.654217089	-7.403044349	0.959155839	0.20380125	['PNMT']	WikiPathways	upregulated
Crosslinking of collagen fibrils_Homo sapiens_R-HSA-2243919	4.069423349	-6.472865564	0.905313116	0.20380125	['TLL1']	Reactome Pathways	downregulated
Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus_Homo sapiens_R-HSA-159763	3.741597337	-5.951422224	0.905313116	0.20380125	['F10']	Reactome Pathways	downregulated
Sodium/Proton exchangers_Homo sapiens_R-HSA-425986	4.443984754	-7.068646689	0.761257612	0.20380125	['SLC9A2']	Reactome Pathways	upregulated
Ca2+ activated K+ channels_Homo sapiens_R-HSA-1296052	3.353506192	-5.334120559	0.905313116	0.20380125	['KCNN2']	Reactome Pathways	downregulated
Inactivation of Cdc42 and Rac_Homo sapiens_R-HSA-428543	3.146704541	-5.005179781	0.905313116	0.20380125	['SLIT2']	Reactome Pathways	downregulated
Sodium/Proton exchangers_Homo sapiens_R-HSA-425986	2.436385855	-3.87533976	0.905313116	0.20380125	['SLC9A9']	Reactome Pathways	downregulated
Integration of provirus_Homo sapiens_R-HSA-162592	7.496805688	-11.92449426	0.761257612	0.20380125	['HMGA1']	Reactome Pathways	upregulated
Integrated Pancreatic Cancer Pathway_Homo sapiens_WP2377	-1.157414267	1.827347597	0.959155839	0.206218505	"['CCNA2', 'TOP2A', 'LEFTY1', 'CCNE1', 'IGFBP3', 'E2F1', 'NME1']"	WikiPathways	upregulated
Striated Muscle Contraction_Homo sapiens_R-HSA-390522	0.486679139	-0.762999256	0.763758815	0.208510368	"['MYBPC1', 'TNNC1']"	Reactome Pathways	upregulated
Signaling of Hepatocyte Growth Factor Receptor_Mus musculus_WP193	1.271675722	-1.993690611	0.639376791	0.208510368	"['JUN', 'FOS']"	WikiPathways	downregulated
PLC-gamma1 signalling_Homo sapiens_R-HSA-167021	-0.447272869	0.701219427	0.905313116	0.208510368	"['PDE1C', 'ADCY5']"	Reactome Pathways	downregulated
Signaling of Hepatocyte Growth Factor Receptor_Homo sapiens_WP313	1.226910176	-1.923508688	0.639376791	0.208510368	"['JUN', 'FOS']"	WikiPathways	downregulated
p53-Dependent G1 DNA Damage Response_Homo sapiens_R-HSA-69563	-0.381684297	0.598209389	0.763758815	0.208610074	"['CCNA2', 'CCNE1', 'PSMD2']"	Reactome Pathways	upregulated
p53-Dependent G1/S DNA damage checkpoint_Homo sapiens_R-HSA-69580	-0.371945711	0.582946216	0.763758815	0.208610074	"['CCNA2', 'CCNE1', 'PSMD2']"	Reactome Pathways	upregulated
Insulin Signaling_Homo sapiens_WP481	-0.138846411	0.215229733	0.639376791	0.212220771	"['EGR1', 'JUN', 'GRB10', 'FOS', 'SORBS1', 'MAPK4']"	WikiPathways	downregulated
Axon guidance_Homo sapiens_hsa04360	-0.00371187	0.005747329	0.606546034	0.212595361	"['EPHA7', 'EPHA6', 'SEMA3A', 'SLIT3', 'SLIT2']"	KEGG Pathways	downregulated
G Protein Signaling Pathways_Homo sapiens_WP35	0.043466433	-0.066999997	0.639376791	0.21407705	"['PDE1C', 'PDE4D', 'PDE7B', 'ADCY5']"	WikiPathways	downregulated
Circadian entrainment_Homo sapiens_hsa04713	0.111127993	-0.171294831	0.606546034	0.21407705	"['PLCB4', 'FOS', 'PRKG1', 'ADCY5']"	KEGG Pathways	downregulated
EPH-Ephrin signaling_Homo sapiens_R-HSA-2682334	-1.025527264	1.580767497	0.905313116	0.21407705	"['EPHA7', 'EPHA6', 'MYH11', 'MYL9']"	Reactome Pathways	downregulated
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213	0.676210546	-1.039007317	0.606546034	0.215129628	"['AKT3', 'CRYAB', 'ADCY5']"	KEGG Pathways	downregulated
Axon guidance_Homo sapiens_R-HSA-422475	-1.372053266	2.073542053	0.905313116	0.220629743	"['DUSP2', 'EPHA7', 'EPHA6', 'EGF', 'DUSP1', 'SEMA3A', 'DPYSL3', 'CNTN1', 'SLIT3', 'MYH11', 'NCAM1', 'TEK', 'SLIT2', 'MYL9', 'CAP2', 'FGF10']"	Reactome Pathways	downregulated
Host Interactions of HIV factors_Homo sapiens_R-HSA-162909	-0.777260806	1.171221431	0.763758815	0.221605235	"['RANBP1', 'PSMD2', 'HMGA1', 'AP1S1', 'AP1M2']"	Reactome Pathways	upregulated
Glioma_Homo sapiens_hsa05214	-1.359053186	2.047369492	0.998834342	0.221691717	"['CALML5', 'CDKN2A', 'E2F1']"	KEGG Pathways	upregulated
IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation_Homo sapiens_R-HSA-975144	5.684349079	-8.511639446	0.763758815	0.22371518	['IRAK1']	Reactome Pathways	upregulated
Removal of the Flap Intermediate from the C-strand_Homo sapiens_R-HSA-174437	7.215417247	-10.80423268	0.763758815	0.22371518	['FEN1']	Reactome Pathways	upregulated
IRAK1 recruits IKK complex_Homo sapiens_R-HSA-937039	5.626075807	-8.424382124	0.763758815	0.22371518	['IRAK1']	Reactome Pathways	upregulated
Establishment of Sister Chromatid Cohesion_Homo sapiens_R-HSA-2468052	5.070037914	-7.591781241	0.763758815	0.22371518	['CDCA5']	Reactome Pathways	upregulated
MAPK3 (ERK1) activation_Homo sapiens_R-HSA-110056	5.721898279	-8.567864925	0.763758815	0.22371518	['CDK1']	Reactome Pathways	upregulated
Creatine metabolism_Homo sapiens_R-HSA-71288	6.72024716	-10.06277412	0.763758815	0.22371518	['SLC6A8']	Reactome Pathways	upregulated
Glycoprotein hormones_Homo sapiens_R-HSA-209822	5.651808348	-8.462913556	0.763758815	0.22371518	['INHBC']	Reactome Pathways	upregulated
MASTL Facilitates Mitotic Progression_Homo sapiens_R-HSA-2465910	5.829358404	-8.728773735	0.763758815	0.22371518	['CDK1']	Reactome Pathways	upregulated
ATF6-alpha activates chaperone genes_Homo sapiens_R-HSA-381183	6.777841367	-10.14901462	0.763758815	0.22371518	['CALR']	Reactome Pathways	upregulated
HDR through MMEJ (alt-NHEJ)_Homo sapiens_R-HSA-5685939	6.023409547	-9.019342336	0.763758815	0.22371518	['FEN1']	Reactome Pathways	upregulated
Sulfur metabolism_Homo sapiens_hsa00920	2.170776434	-3.250480585	0.998834342	0.22371518	['TST']	KEGG Pathways	upregulated
FGFR2b ligand binding and activation_Homo sapiens_R-HSA-190377	2.441427174	-3.655748012	0.905313116	0.22371518	['FGF10']	Reactome Pathways	downregulated
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation_Homo sapiens_R-HSA-2892245"	8.051566023	-12.05626643	0.763758815	0.22371518	['DKK1']	Reactome Pathways	upregulated
GP1b-IX-V activation signalling_Homo sapiens_R-HSA-430116	2.731621072	-4.090279	0.905313116	0.22371518	['FLNA']	Reactome Pathways	downregulated
Adenylate cyclase activating pathway_Homo sapiens_R-HSA-170660	3.519716996	-5.270359298	0.905313116	0.22371518	['ADCY5']	Reactome Pathways	downregulated
Acetylcholine regulates insulin secretion_Homo sapiens_R-HSA-399997	2.299772654	-3.443637146	0.905313116	0.22371518	['CHRM3']	Reactome Pathways	downregulated
Gamma-carboxylation of protein precursors_Homo sapiens_R-HSA-159740	3.715433179	-5.563421099	0.905313116	0.22371518	['F10']	Reactome Pathways	downregulated
Removal of aminoterminal propeptides from gamma-carboxylated proteins_Homo sapiens_R-HSA-159782	3.810308697	-5.705485951	0.905313116	0.22371518	['F10']	Reactome Pathways	downregulated
Creatine metabolism_Homo sapiens_R-HSA-71288	3.855893007	-5.773743056	0.905313116	0.22371518	['CKB']	Reactome Pathways	downregulated
E2F-enabled inhibition of pre-replication complex formation_Homo sapiens_R-HSA-113507	4.050732416	-6.065491991	0.905313116	0.22371518	['ORC3']	Reactome Pathways	downregulated
Thyroxine biosynthesis_Homo sapiens_R-HSA-209968	5.029684697	-7.531357078	0.905313116	0.22371518	['DUOX2']	Reactome Pathways	downregulated
Fatty acid oxidation_Mus musculus_WP2318	3.601420299	-5.392700316	0.96574632	0.22371518	['ECHS1']	WikiPathways	upregulated
Signal attenuation_Homo sapiens_R-HSA-74749	2.382734627	-3.567862874	0.905313116	0.22371518	['GRB10']	Reactome Pathways	downregulated
Regulation of signaling by NODAL_Homo sapiens_R-HSA-1433617	8.514402014	-12.7493085	0.763758815	0.22371518	['LEFTY1']	Reactome Pathways	upregulated
DNA replication_Homo sapiens_hsa03030	-0.551830366	0.818286407	0.998834342	0.226987892	"['FEN1', 'MCM2']"	KEGG Pathways	upregulated
APC/C:Cdc20 mediated degradation of Securin_Homo sapiens_R-HSA-174154	-0.370514261	0.547295482	0.775220673	0.228293332	"['CDC20', 'UBE2C', 'PSMD2']"	Reactome Pathways	upregulated
Renal cell carcinoma_Homo sapiens_hsa05211	0.694408634	-1.025727612	0.626264141	0.228293332	"['JUN', 'TGFB3', 'AKT3']"	KEGG Pathways	downregulated
Pancreatic cancer_Homo sapiens_hsa05212	-1.161009961	1.714955599	0.998834342	0.228293332	"['CDKN2A', 'E2F1', 'RAC3']"	KEGG Pathways	upregulated
Pancreatic cancer_Homo sapiens_hsa05212	0.649438412	-0.95930102	0.626264141	0.228293332	"['TGFB3', 'EGF', 'AKT3']"	KEGG Pathways	downregulated
Metabolism of water-soluble vitamins and cofactors_Homo sapiens_R-HSA-196849	-0.894737378	1.3149982	0.905313116	0.229993785	"['LMBRD1', 'PTGIS', 'AOX1', 'PTGS2']"	Reactome Pathways	downregulated
Cell-Cell communication_Homo sapiens_R-HSA-1500931	-1.016658481	1.490941888	0.905313116	0.23072886	"['CADM3', 'FLNA', 'FLNC', 'FERMT2', 'LIMS2']"	Reactome Pathways	downregulated
Type II interferon signaling (IFNG)_Homo sapiens_WP619	0.067515633	-0.097409968	0.96574632	0.236270842	"['IFI6', 'ISG15']"	WikiPathways	upregulated
Nuclear Receptors_Mus musculus_WP509	1.571351156	-2.267108514	0.696252593	0.236270842	"['NR4A1', 'ROR1']"	WikiPathways	downregulated
Defective B3GALTL causes Peters-plus syndrome (PpS)_Homo sapiens_R-HSA-5083635	-0.247092375	0.356499071	0.905313116	0.236270842	"['ADAMTS1', 'ADAMTS19']"	Reactome Pathways	downregulated
PPAR signaling pathway_Mus musculus_WP2316	0.340111265	-0.483113769	0.696252593	0.241603337	"['FABP4', 'ME1', 'SORBS1']"	WikiPathways	downregulated
Condensation of Prometaphase Chromosomes_Homo sapiens_R-HSA-2514853	4.481626262	-6.337695071	0.792431987	0.243132009	['CDK1']	Reactome Pathways	upregulated
Recruitment of NuMA to mitotic centrosomes_Homo sapiens_R-HSA-380320	5.104023253	-7.217858233	0.792431987	0.243132009	['CDK1']	Reactome Pathways	upregulated
Processive synthesis on the C-strand of the telomere_Homo sapiens_R-HSA-174414	5.384268987	-7.614167944	0.792431987	0.243132009	['FEN1']	Reactome Pathways	upregulated
Sodium/Calcium exchangers_Homo sapiens_R-HSA-425561	3.463718268	-4.898219734	0.905313116	0.243132009	['SLC8A1']	Reactome Pathways	downregulated
Dermatan sulfate biosynthesis_Homo sapiens_R-HSA-2022923	3.624091276	-5.12501134	0.905313116	0.243132009	['DCN']	Reactome Pathways	downregulated
TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling_Homo sapiens_R-HSA-975110	5.944502044	-8.406421933	0.792431987	0.243132009	['IRAK1']	Reactome Pathways	upregulated
"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins_Homo sapiens_R-HSA-159854"	3.735133613	-5.282041943	0.905313116	0.243132009	['F10']	Reactome Pathways	downregulated
CYP2E1 reactions_Homo sapiens_R-HSA-211999	5.867903456	-8.298099983	0.792431987	0.243132009	['CYP2A6']	Reactome Pathways	upregulated
CDC6 association with the ORC:origin complex_Homo sapiens_R-HSA-68689	3.834291047	-5.422265501	0.905313116	0.243132009	['ORC3']	Reactome Pathways	downregulated
Ptf1a related regulatory pathway_Mus musculus_WP201	9.13434302	-12.91733789	0.696252593	0.243132009	['FGF10']	WikiPathways	downregulated
Nuclear Receptors_Homo sapiens_WP170	1.632976838	-2.29295813	0.696252593	0.245573646	"['NR4A1', 'ROR1']"	WikiPathways	downregulated
G1 Phase_Homo sapiens_R-HSA-69236	0.389683465	-0.547177308	0.792431987	0.245573646	"['CDKN2A', 'E2F1']"	Reactome Pathways	upregulated
Cyclin D associated events in G1_Homo sapiens_R-HSA-69231	0.37394253	-0.525074541	0.792431987	0.245573646	"['CDKN2A', 'E2F1']"	Reactome Pathways	upregulated
Striated Muscle Contraction_Homo sapiens_WP383	0.170312891	-0.239146275	0.96574632	0.245573646	"['MYBPC1', 'TNNC1']"	WikiPathways	upregulated
O-glycosylation of TSR domain-containing proteins_Homo sapiens_R-HSA-5173214	-0.184105073	0.258512683	0.905313116	0.245573646	"['ADAMTS1', 'ADAMTS19']"	Reactome Pathways	downregulated
Retrograde endocannabinoid signaling_Homo sapiens_hsa04723	0.195010239	-0.273334364	0.654624741	0.246192609	"['RIMS1', 'PLCB4', 'PTGS2', 'ADCY5']"	KEGG Pathways	downregulated
Proteoglycans in cancer_Homo sapiens_hsa05205	-0.072100685	0.10100455	0.654624741	0.246379567	"['HPSE2', 'AKT3', 'HSPB2', 'FLNA', 'COL21A1', 'FLNC', 'DCN']"	KEGG Pathways	downregulated
AMPK Signaling_Homo sapiens_WP1403	-0.643353734	0.89625202	0.96574632	0.248305936	"['CCNA2', 'FASN', 'EIF4EBP1']"	WikiPathways	upregulated
Drug metabolism - cytochrome P450_Homo sapiens_hsa00982	-1.021634185	1.423232125	0.998834342	0.248305936	"['ALDH3B2', 'CYP2A6', 'UGT1A4']"	KEGG Pathways	upregulated
PPAR signaling pathway_Homo sapiens_hsa03320	0.861726563	-1.200465828	0.654624741	0.248305936	"['FABP4', 'ME1', 'SORBS1']"	KEGG Pathways	downregulated
Cardiac conduction_Homo sapiens_R-HSA-5576891	-0.869148213	1.207378265	0.905313116	0.249286815	"['CACNA2D1', 'ATP1A2', 'FXYD6', 'SLC8A1', 'TRDN']"	Reactome Pathways	downregulated
Toll-like Receptor Signaling Pathway_Homo sapiens_WP75	0.040378668	-0.055711463	0.696252593	0.25164771	"['JUN', 'AKT3', 'CCL4', 'FOS']"	WikiPathways	downregulated
NS1 Mediated Effects on Host Pathways_Homo sapiens_R-HSA-168276	0.538458347	-0.736032212	0.792431987	0.254889524	"['ISG15', 'KPNA2']"	Reactome Pathways	upregulated
tRNA modification in the nucleus and cytosol_Homo sapiens_R-HSA-6782315	0.848565861	-1.159925945	0.792431987	0.254889524	"['CTU1', 'LAGE3']"	Reactome Pathways	upregulated
Formation of Fibrin Clot (Clotting Cascade)_Homo sapiens_R-HSA-140877	-0.137739966	0.188280212	0.905313116	0.254889524	"['F10', 'A2M']"	Reactome Pathways	downregulated
Collagen degradation_Homo sapiens_R-HSA-1442490	-0.190841522	0.260866059	0.905313116	0.254889524	"['COL14A1', 'COL19A1']"	Reactome Pathways	downregulated
Collagen degradation_Homo sapiens_R-HSA-1442490	0.713214873	-0.974911287	0.792431987	0.254889524	"['MMP11', 'MMP15']"	Reactome Pathways	upregulated
trans-Golgi Network Vesicle Budding_Homo sapiens_R-HSA-199992	0.071985432	-0.098357198	0.792431987	0.255036488	"['VAMP8', 'AP1S1', 'AP1M2']"	Reactome Pathways	upregulated
Clathrin derived vesicle budding_Homo sapiens_R-HSA-421837	0.061481941	-0.084005767	0.792431987	0.255036488	"['VAMP8', 'AP1S1', 'AP1M2']"	Reactome Pathways	upregulated
Parkin-Ubiquitin Proteasomal System pathway_Homo sapiens_WP2359	-0.516801021	0.706130378	0.96574632	0.255036488	"['TUBA3E', 'CCNE1', 'PSMD2']"	WikiPathways	upregulated
EGFR1 Signaling Pathway_Mus musculus_WP572	-0.046395583	0.063016521	0.696252593	0.257111874	"['JUN', 'KRT17', 'EGF', 'DUSP1', 'GRB10', 'FOS']"	WikiPathways	downregulated
MHC class II antigen presentation_Homo sapiens_R-HSA-2132295	-0.2956233	0.401510008	0.792431987	0.257128017	"['AP1S1', 'KIF2C', 'AP1M2', 'SPTBN2']"	Reactome Pathways	upregulated
